="Status do item"	="Norma de apropriação"	="Material"	="Texto breve material"	="Qtd.necessária"	="Unid.medida básica"	="Grp.plnj.PM"	="Ordem"	="Nº reserva"	="Nº item reserva transferência"	="Data da necessidade"	="Status Aprovação"	="Status usuário"	="Status do sistema"	="Local de instalação"	="Preço médio móvel"	="Qtd.retirada"	="Com registro final"	="Item foi eliminado"	="Permitido movimento"	="Texto breve"
="ELIMINADO"	=""	="1103950"	="CABO CONTR COBRE CL5 PVCA 12X  1,50MM2"	="20.000"	="M"	="5IS"	="80003541162"	="31826684"	="1"	="1/31/22"	=""	="CANC RISC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-175-850-002-120"	="19.94"	="0.000"	=""	="X"	=""	="[REVISAR] /COMPONENTES ELETRICOS CIRC. P"
="ELIMINADO"	=""	="1210283"	="REATOR LAMP VAPOR SODIO 220V  400W"	="2.000"	="CDA"	="5IS"	="80005006680"	="34137724"	="1"	="8/22/22"	=""	="CANC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-175-850-004-050"	="102.48"	="0.000"	=""	="X"	=""	="[REVISAR] (EXTERNA) ILUMINACAO"
="ELIMINADO"	=""	="1628530"	="LAMPADA V SODIO TUB CLARA 400W"	="2.000"	="CDA"	="5IS"	="80005006680"	="34137724"	="2"	="8/22/22"	=""	="CANC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-175-850-004-050"	="32.31"	="0.000"	=""	="X"	=""	="[REVISAR] (EXTERNA) ILUMINACAO"
="ELIMINADO"	=""	="8006720"	="ROLO HITACHI 0294754 FL J-3202 1, 5"	="1.000"	="CDA"	="5I3"	="80005045812"	="34190630"	="1"	="7/6/22"	=""	="CANC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-175-213-107-030"	="20,000.00"	="0.000"	=""	="X"	=""	="[REPARAR] USINAGEM DA MESA E MANGAS DO R"
="ELIMINADO"	=""	="9156354"	="RODA CABEZZA 30206101"	="4.000"	="CDA"	="5IS"	="80005402116"	="34730424"	="1"	="6/26/23"	=""	="CANC"	="ENCE CAPC ERRD NEXE"	="G-CSN-10-175-900-850"	="27,780.00"	="0.000"	=""	="X"	=""	="[REPARAR] RODAS PÓRTICO"
="ELIMINADO"	=""	="1210283"	="REATOR LAMP VAPOR SODIO 220V  400W"	="2.000"	="CDA"	="5IS"	="80005761802"	="35243089"	="1"	="12/5/22"	=""	="CANC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-175-850-004-050"	="102.48"	="0.000"	=""	="X"	=""	="[REVISAR] (EXTERNA) ILUMINACAO"
="ELIMINADO"	=""	="1628530"	="LAMPADA V SODIO TUB CLARA 400W"	="2.000"	="CDA"	="5IS"	="80005761802"	="35243089"	="2"	="12/5/22"	=""	="CANC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-175-850-004-050"	="32.31"	="0.000"	=""	="X"	=""	="[REVISAR] (EXTERNA) ILUMINACAO"
="ELIMINADO"	=""	="8001786"	="RESFRIADOR BARDELLA CSNBSA4308"	="3.000"	="CDA"	="5I6"	="80006252879"	="35954033"	="35"	="12/21/22"	=""	="CANC"	="ENCE CAPC MatC NEXE"	="G-CSN-10-176-400-402"	="29,015.78"	="0.000"	=""	="X"	=""	="[REPOR] SOBRESSALENTES PARA O BENDER OMS"
="ELIMINADO"	=""	="8111168"	="TESTADOR DE ISOLACAO 0,0001- 0,6KV"	="2.000"	="CDA"	="5IS"	="80006919736"	="36823587"	="1"	="3/25/23"	=""	="CANC"	="ENCE CAPC ERRD NEXE"	="G-CSN-10-176-200-201"	="1,602.86"	="0.000"	=""	="X"	=""	="[ABASTECER] MATERIAL OMS E MCC# 2 3 4"
="ELIMINADO"	=""	="1789691"	="BUCHA BARDELLA CSNVAI2708 3009"	="24.000"	="CDA"	="5I3"	="80007429952"	="37516857"	="1"	="11/27/23"	=""	="CANC"	="ENCE CAPC ERRD NEXE"	="G-CSN-10-175-413-043"	="1,361.99"	="0.000"	=""	="X"	=""	="[REPARAR] CJ HORIZONTAL LIVRE AGOSTO V1"
="ELIMINADO"	=""	="1789695"	="TAMPA BARDELLA CSNVAI2705"	="48.000"	="CDA"	="5I3"	="80007429952"	="37516857"	="2"	="11/27/23"	=""	="CANC"	="ENCE CAPC ERRD NEXE"	="G-CSN-10-175-413-043"	="907.57"	="0.000"	=""	="X"	=""	="[REPARAR] CJ HORIZONTAL LIVRE AGOSTO V1"
="ELIMINADO"	=""	="8090060"	="MANTA FIBR ROLO   3 X1000MMX30M"	="2.000"	="CDA"	="5I6"	="80007514807"	="37622619"	="2"	="6/13/23"	=""	="CANC"	="ENCE CAPC NEXE"	="G-CSN-10-176-400-403"	="1,530.32"	="0.000"	=""	="X"	=""	="[REPARAR] MANTA FIBRA SEG.BOW"
="ELIMINADO"	=""	="8731520"	="GRAVADOR VD 16 CANAIS"	="1.000"	="CDA"	="5IS"	="80007522855"	="37636177"	="2"	="9/15/23"	=""	="CANC"	="ENCE CAPC ERRD NEXE"	="G-CSN-10-176-200-201"	="4,670.14"	="0.000"	=""	="X"	=""	="[INSTALAR] CAMERAS FORNO RH"
="ELIMINADO"	=""	="9259108"	="CAMERA CFTV COL 1/1.8""CMOS 12VCC"	="4.000"	="CDA"	="5IS"	="80007522855"	="37636177"	="3"	="9/15/23"	=""	="CANC"	="ENCE CAPC ERRD NEXE"	="G-CSN-10-176-200-201"	="4,816.80"	="0.000"	=""	="X"	=""	="[INSTALAR] CAMERAS FORNO RH"
